pname,url,price,rating,discount,no_of_ratings
"realme Narzo 50A (Oxygen Blue, 64 GB)",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4UGGFQWYY&lid=LSTMOBG6MY4UGGFQWYYBVB3OV&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG6MY4UGGFQWYY.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,11499,4.4,11,161401
"REDMI 9i Sport (Metallic Blue, 64 GB)",https://www.flipkart.com/redmi-9i-sport-metallic-blue-64-gb/p/itmeb95d0b4616cc?pid=MOBG6WQWQZZMGQCU&lid=LSTMOBG6WQWQZZMGQCUR9J4PR&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG6WQWQZZMGQCU.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,8499,4.3,15,25309
"realme Narzo 50A (Oxygen Blue, 128 GB)",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4JGHHADW8&lid=LSTMOBG6MY4JGHHADW8WFCDOI&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG6MY4JGHHADW8.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,12499,4.4,10,161401
"REDMI 9i (Sea Blue, 64 GB)",https://www.flipkart.com/redmi-9i-sea-blue-64-gb/p/itm1c59f8befb365?pid=MOBFV8RYTHGA8BY9&lid=LSTMOBFV8RYTHGA8BY9SJ1RJ7&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBFV8RYTHGA8BY9.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,8499,4.3,15,528757
"REDMI 9i (Nature Green, 64 GB)",https://www.flipkart.com/redmi-9i-nature-green-64-gb/p/itmebb0fb624df75?pid=MOBFV8RYNA4FVEH7&lid=LSTMOBFV8RYNA4FVEH7KHQFS7&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBFV8RYNA4FVEH7.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,8499,4.3,15,528757
"realme Narzo 50A (Oxygen Green, 64 GB)",https://www.flipkart.com/realme-narzo-50a-oxygen-green-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4X6JDZMGG&lid=LSTMOBG6MY4X6JDZMGGGKYEYU&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG6MY4X6JDZMGG.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,11499,4.4,11,161401
"REDMI 9i (Midnight Black, 64 GB)",https://www.flipkart.com/redmi-9i-midnight-black-64-gb/p/itm9e3af42cbac00?pid=MOBFV8RYKWQ3HACE&lid=LSTMOBFV8RYKWQ3HACE8DXISG&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBFV8RYKWQ3HACE.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,8499,4.3,15,528757
"realme Narzo 50i (Carbon Black, 32 GB)",https://www.flipkart.com/realme-narzo-50i-carbon-black-32-gb/p/itm53fa214c23501?pid=MOBG6MY4QPAW6PQN&lid=LSTMOBG6MY4QPAW6PQNODSGXD&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG6MY4QPAW6PQN.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,7499,4.5,6,34108
"realme Narzo 50i (Mint Green, 32 GB)",https://www.flipkart.com/realme-narzo-50i-mint-green-32-gb/p/itm53fa214c23501?pid=MOBG6MY4BU22NQYT&lid=LSTMOBG6MY4BU22NQYTYOLEYN&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG6MY4BU22NQYT.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,7499,4.5,6,34108
"APPLE iPhone 12 Mini (Black, 64 GB)",https://www.flipkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F&lid=LSTMOBFWBYZXSEGBS6FTONJ6W&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBFWBYZXSEGBS6F.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,40999,4.5,31,75721
"Infinix Smart 5A (Ocean Wave, 32 GB)",https://www.flipkart.com/infinix-smart-5a-ocean-wave-32-gb/p/itma0d1e81b14743?pid=MOBG56UGTK2UFKZA&lid=LSTMOBG56UGTK2UFKZAIWFL0J&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG56UGTK2UFKZA.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,6999,4.4,12,52513
"Infinix Smart 5A (Quetzal Cyan, 32 GB)",https://www.flipkart.com/infinix-smart-5a-quetzal-cyan-32-gb/p/itma0d1e81b14743?pid=MOBG56UGAS4CFKTK&lid=LSTMOBG56UGAS4CFKTKXZCJLS&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG56UGAS4CFKTK.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,6999,4.4,12,52513
"Infinix Smart 5A (Midnight Black, 32 GB)",https://www.flipkart.com/infinix-smart-5a-midnight-black-32-gb/p/itma0d1e81b14743?pid=MOBG56UGBGFN9JRN&lid=LSTMOBG56UGBGFN9JRN7VONX0&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG56UGBGFN9JRN.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,6999,4.4,12,52513
"POCO C31 (Royal Blue, 64 GB)",https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPO7NNRG&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG73E7GKQK4KZP.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,9499,4.3,20,9175
"Infinix Hot 10S (Heart Of Ocean, 64 GB)",https://www.flipkart.com/infinix-hot-10s-heart-ocean-64-gb/p/itma5269c82af950?pid=MOBG2T89EFYGVUUV&lid=LSTMOBG2T89EFYGVUUVOWGB65&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG2T89EFYGVUUV.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,9999,4.3,23,65705
