pname,url,price,rating,discount,no_of_ratings
"Lenovo IdeaPad 3 Intel Celeron N4020 14'' HD Thin & Light Laptop (4GB/256GB HDD/Windows 11/MS Office 2021/Platinum Grey/1.5Kg), 81WH007KIN",https://www.amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81WH007KIN/dp/B09MM4FPMR/ref=sr_1_3?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-3,"29,490",4.1 out of 5 stars,(27% off),453
"Lenovo Chromebook 14e 14.0"" FHD Business Laptop (AMD 3015Ce Processor/4GB DDR4 RAM/64GB Storage eMMC/AMD Radeon Graphics/Chrome OS/Grey) 82M10019HA",https://www.amazon.in/Lenovo-Chromebook-Business-Processor-82M10019HA/dp/B09NQ9Z2S6/ref=sr_1_4?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-4,"24,990",3.0 out of 5 stars,(58% off),5
"Lenovo IdeaPad Slim 1 Intel Celeron N4020 11.6"" (29.46cm) HD Thin & Light Laptop (4GB/256 GB SSD/Windows 10/MS Office/Platinum Grey/1.2Kg), 81VT0071IN",https://www.amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT0071IN/dp/B09G9ZPV38/ref=sr_1_5?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-5,"27,490",4.1 out of 5 stars,(34% off),200
"Dell 15 (2021) AMD Ryzen 3-3250U Laptop, 8GB DDR4, 256GB SSD, Windows 10 + MS Office, Radeon Graphics, 15.6 inches FHD Display, Carbon Black (Inspiron 3515, D560523WIN9BE), 1.8kg",https://www.amazon.in/Dell-Graphics-Inspiron-3515-D560523WIN9BE/dp/B09F3QJF4W/ref=sr_1_6?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-6,"37,777",3.7 out of 5 stars,(28% off),21
"AVITA Cosmos 2 in 1 Intel Celeron Dual Core 11.6 inches (4 GB/64 GB EMMC Storage/Windows 10 Home) NS12T5IN021P 2 in 1 Laptop (Charcoal Grey, 1.327 kg)",https://www.amazon.in/AVITA-Celeron-Storage-NS12T5IN021P-Charcoal/dp/B09HKBR46P/ref=sr_1_7?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-7,"15,990",3.7 out of 5 stars,(32% off),174
"HP Chromebook 14 inches Thin & Light Touchscreen Laptop (Intel Celeron N4020/4GB/64GB eMMC + 256GB Expandable Storage/Chrome OS/1.46 kgs Light/ Mineral Silver), 14a-na0003TU",https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_8?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-8,"27,990",3.7 out of 5 stars,(6% off),890
"HP Chromebook x360 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (AMD 3015CE/4GB/64GB eMMC Storage/Chrome OS/Ceramic White/1.49 kg), 14a-cb0006AU",https://www.amazon.in/HP-Chromebook-14-inch-Touchscreen-14a-cb0006AU/dp/B09CMNZ4T1/ref=sr_1_9?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-9,"30,990",4.0 out of 5 stars,(15% off),166
HP 15s 11th Gen Intel Core i3 15.6 inches Laptop (8GB RAM/512GB SSD/ Windows 11/ MS Office/ Natural Silver/ 1.75kg) - 15s-du3564TU,https://www.amazon.in/HP-inches-Laptop-Windows-Natural/dp/B09KLZJDT6/ref=sr_1_10?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-10,"44,794",4.2 out of 5 stars,(11% off),271
"Dell Vostro 3401 14"" FHD Anti Glare Display Laptop / i3-1005G1 / 8GB / 1TB / Integrated Graphics / Win 10 + Office H&S/ Black) D552149WIN9BE",https://www.amazon.in/Dell-i3-1005G1-Integrated-Graphics-D552149WIN9BE/dp/B08MQ7QKHJ/ref=sr_1_13?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-13,"36,990",3.7 out of 5 stars,(14% off),402
"HP 15 AMD Ryzen 3 3250U Thin & Light 15.6 inches FHD Laptop (8GB/256GB SSD/Windows 10 Home/MS Office/1.69 kg), 15s-gy0501AU, Silver",https://www.amazon.in/HP-inches-Laptop-Windows-15s-gy0501AU/dp/B09FL5CK19/ref=sr_1_14?crid=2EO1UROOVXP41&keywords=laptops&qid=1641386451&sprefix=laptops%2Caps%2C491&sr=8-14,"39,990",4.1 out of 5 stars,(13% off),224
