pname,url,price,discount
Slim Men Grey Jeans,https://www.flipkart.com/metronaut-slim-men-grey-jeans/p/itma49189b413ab5?pid=JEAG5YYM4KHYFUAQ&lid=LSTJEAG5YYM4KHYFUAQHPPZMI&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG5YYM4KHYFUAQ.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹483,62% off
Slim Men Black Jeans,https://www.flipkart.com/zaysh-slim-men-black-jeans/p/itm362c51134df0c?pid=JEAF8H62TPUM6ZC9&lid=LSTJEAF8H62TPUM6ZC9YGQKKX&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&spotlightTagId=TrendingId_clo%2Fvua%2Fk58&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAF8H62TPUM6ZC9.SEARCH&ppt=sp&ppn=sp&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹459,63% off
Slim Men Blue Jeans,https://www.flipkart.com/united-denim-slim-men-blue-jeans/p/itm722e3e8e575e0?pid=JEAGF9NCWA2AJQZH&lid=LSTJEAGF9NCWA2AJQZHOE2OVQ&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGF9NCWA2AJQZH.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹425,75% off
Slim Men Black Jeans,https://www.flipkart.com/united-denim-slim-men-black-jeans/p/itm7c4713697de71?pid=JEAFVU2CMBHXVG6K&lid=LSTJEAFVU2CMBHXVG6KIT5XEN&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAFVU2CMBHXVG6K.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹425,73% off
Slim Men Black Jeans,https://www.flipkart.com/united-denim-slim-men-black-jeans/p/itm2c5fb53131163?pid=JEAGF9NCQUUGBYQV&lid=LSTJEAGF9NCQUUGBYQVRDTXYP&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGF9NCQUUGBYQV.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹399,77% off
Slim Women Black Jeans,https://www.flipkart.com/nifty-slim-women-black-jeans/p/itmf3vzm2hxydhsz?pid=JEAG56KG8EJZFYRP&lid=LSTJEAG56KG8EJZFYRPUTINWV&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG56KG8EJZFYRP.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹499,61% off
Skinny Women Black Jeans,https://www.flipkart.com/tyffyn-skinny-women-black-jeans/p/itmf65e01eb7d3a5?pid=JEAG3V3YWWJZCERU&lid=LSTJEAG3V3YWWJZCERUJHGFTB&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG3V3YWWJZCERU.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹444,77% off
Slim Women Black Jeans,https://www.flipkart.com/c-creation-slim-women-black-jeans/p/itmcc52edd47eef5?pid=JEAFXVQUWDFMXBQV&lid=LSTJEAFXVQUWDFMXBQV7ORVII&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAFXVQUWDFMXBQV.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹392,71% off
Regular Women Black Jeans,https://www.flipkart.com/queenie-regular-women-black-jeans/p/itmf1f17f8801558?pid=JEAG8YFJZCEMF4HV&lid=LSTJEAG8YFJZCEMF4HVGTNOXF&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG8YFJZCEMF4HV.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹430,56% off
Slim Women Blue Jeans,https://www.flipkart.com/nifty-slim-women-blue-jeans/p/itmf3vzyujdzeph9?pid=JEAEQ8DXJWH4PFGY&lid=LSTJEAEQ8DXJWH4PFGYWEANWM&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAEQ8DXJWH4PFGY.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹499,61% off
Skinny Women Dark Blue Jeans,https://www.flipkart.com/tyffyn-skinny-women-dark-blue-jeans/p/itm941f93538b8a0?pid=JEAFPAERJJ2JMGHC&lid=LSTJEAFPAERJJ2JMGHCY7RXWC&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAFPAERJJ2JMGHC.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹444,77% off
Men & Women Grey Jeans,https://www.flipkart.com/annu-jeans-men-women-grey/p/itma1ce5f0b843cc?pid=JEAGF54AFHYJBGZD&lid=LSTJEAGF54AFHYJBGZD5PLGGN&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGF54AFHYJBGZD.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹448,67% off
Slim Men Black Jeans,https://www.flipkart.com/united-denim-slim-men-black-jeans/p/itmeb4428923bd64?pid=JEAGF9NBJKREB8FX&lid=LSTJEAGF9NBJKREB8FXHMMPLD&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGF9NBJKREB8FX.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹425,76% off
Slim Men Dark Blue Jeans,https://www.flipkart.com/lzard-slim-men-dark-blue-jeans/p/itma2a503b661259?pid=JEAFMHTSVTGZT2YB&lid=LSTJEAFMHTSVTGZT2YBAPETOJ&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAFMHTSVTGZT2YB.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹459,80% off
Slim Men Grey Jeans,https://www.flipkart.com/metronaut-slim-men-grey-jeans/p/itmcfc5ff19e0957?pid=JEAG5YYM23UMGJVV&lid=LSTJEAG5YYM23UMGJVVVTQGTB&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG5YYM23UMGJVV.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹519,60% off
Slim Men Blue Jeans,https://www.flipkart.com/united-denim-slim-men-blue-jeans/p/itm42acde59628a8?pid=JEAGAY2UK5YAMAZ8&lid=LSTJEAGAY2UK5YAMAZ8LJRYCL&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGAY2UK5YAMAZ8.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹399,75% off
Regular Men Light Blue Jeans,https://www.flipkart.com/lzard-regular-men-light-blue-jeans/p/itmfe4arwykhuhhh?pid=JEAFE435YDFUAJRG&lid=LSTJEAFE435YDFUAJRGJESGKY&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAFE435YDFUAJRG.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹459,80% off
Slim Men Black Jeans,https://www.flipkart.com/united-denim-slim-men-black-jeans/p/itmd122dfff1c0c4?pid=JEAG49H8R9E76SJK&lid=LSTJEAG49H8R9E76SJKRJJ0EK&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_25&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG49H8R9E76SJK.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹425,73% off
Slim Women Light Blue Jeans,https://www.flipkart.com/f2m-slim-women-light-blue-jeans/p/itm66211e559f550?pid=JEAGFFYE6YDZQGGG&lid=LSTJEAGFFYE6YDZQGGGRHJN30&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_26&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGFFYE6YDZQGGG.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹452,77% off
